price,ema_20,ema_50,rsi_14,bb_upper,bb_lower,macd_line,macd_signal,adx,volume,vol_ma20,cmf,fib_0_618,entry,tp,sl,is_doji,timestamp,label
90193.51,86368.72715845252,81232.40069477135,68.0173771105016,93382.13550481295,79270.74749518705,3130.165825505581,3073.704292008359,54.24194789832455,22766.283954,14502.106344,0.20841383096240215,65909.47448,65909.4745,93382.1355,64591.285,0,2024-11-13 20:00:00,0
90375.2,86708.56457193322,81573.75831458424,66.11217628360811,93370.33151178925,80301.35448821077,3034.8293100030132,3065.92929560729,53.151669831041815,13317.1746,14304.073253449998,0.2281336295676655,65909.47448,65909.4745,93370.3315,64591.285,1,2024-11-14 00:00:00,0
89937.02,87095.31270793958,81934.37249832603,67.94883676112335,93385.01486945448,81326.61213054553,2991.952788626324,3051.133994211097,51.88364634473157,7354.10555,13996.943246699997,0.24206530927303835,65909.47448,65909.4745,93385.0149,64591.285,1,2024-11-14 04:00:00,0
90769.42,87514.03149765963,82309.17592976423,69.49417100553265,93524.19577098895,82175.39422901107,2981.89428568304,3037.2860525054857,50.98110275661407,6197.35157,14010.203607599999,0.24360495299596427,65909.47448,65909.4745,93524.1958,64591.285,1,2024-11-14 08:00:00,0
91491.86,87555.3608788349,82530.3058933029,55.38681292814696,92950.48456361481,83432.99443638518,2657.3301106057334,2961.2948641255352,48.49507470692718,8132.00542,14465.1632036,0.18586819363036833,65909.47448,65909.4745,92950.4846,64591.285,1,2024-11-14 12:00:00,0
87947.99,87737.13508085062,82802.21507395769,59.20221248887949,92443.19070413413,84673.28729586587,2493.693447959915,2867.7745808924114,46.0110735328415,15118.0437,14489.429893550001,0.1891816731098694,65909.47448,65909.4745,92443.1907,64591.285,1,2024-11-14 16:00:00,0
89463.99,87697.94031124581,82979.60232595935,52.395391996727334,92074.5110928161,85368.57190718388,2166.4853111524135,2727.5167269444123,43.21170548892826,8531.95926,14181.329052749998,0.11911010307535345,65909.47448,65909.4745,92074.5111,64591.285,0,2024-11-14 20:00:00,1
87325.59,87747.48980541289,83185.03792101977,54.73493923741856,91969.9709004781,85684.71209952192,1956.642522358452,2573.3418860272204,40.61229230529454,11396.04536,13519.37238105,0.09435545552364633,65909.47448,65909.4745,91969.9709,64591.285,0,2024-11-15 00:00:00,1
88218.21,87734.58601442118,83358.6442770582,52.83581911048784,91962.13334439331,85588.95065560669,1721.5792260400194,2402.9893540297803,38.088468997222705,6032.5219,12685.4875424,0.04984652167466832,65909.47448,65909.4745,91962.1333,64591.285,0,2024-11-15 04:00:00,1
87612.0,87925.69687019059,83608.94254070298,58.30764718709434,92054.94163693408,85665.52136306594,1687.6483901661559,2259.9211612570552,36.47004452491071,6883.97605,12044.8986744,0.07759320016005677,65909.47448,65909.4745,92054.9416,64591.285,0,2024-11-15 08:00:00,1
89741.25,87975.19335874387,83798.60793126366,54.1873594598936,92032.50045489469,85634.1685451053,1538.4600898072385,2115.628946967092,35.40654080177701,6640.4585,11969.68384335,0.04343892331633999,65909.47448,65909.4745,92032.5005,64591.285,0,2024-11-15 12:00:00,1
88445.41,88204.02161029208,84056.61899278272,58.85664120518027,92163.83097065809,85825.0720293419,1558.2003093003295,2004.1432194337397,34.48152730444081,11903.82559,11327.01128935,0.07628836740991142,65909.47448,65909.4745,92163.831,64591.285,0,2024-11-15 16:00:00,1
90377.89,88473.35955216903,84330.16609110497,60.33060648832838,92307.26965356681,86121.64034643317,1608.0943238968903,1924.93344032637,34.077096637342905,8672.84127,10761.24804635,0.06709720245887207,65909.47448,65909.4745,92307.2697,64591.285,0,2024-11-15 20:00:00,0
91032.07,88737.99483291485,84601.61173459105,60.838621579072374,92547.91156517818,86135.77343482182,1646.4058814993623,1869.2279285609684,33.70155387503771,7794.32737,10249.424025850001,0.035593327449382886,65909.47448,65909.4745,92547.9116,64591.285,0,2024-11-16 00:00:00,0
91252.03,88964.6172297801,84857.13794107767,60.32985730474237,92728.57943764635,86271.65756235368,1646.9302541907527,1824.7683936869255,33.38659773436597,4249.95392,9934.97723535,0.049144967709288064,65909.47448,65909.4745,92728.5794,64591.285,0,2024-11-16 04:00:00,0
91117.53,89174.62416027722,85104.68900221188,60.46792333955114,92816.27502878128,86587.33097121872,1632.7335632316972,1786.36142759588,33.028112683945366,3028.27512,9633.18143885,0.0852503403217067,65909.47448,65909.4745,92816.275,64591.285,0,2024-11-16 08:00:00,0
91169.69,89302.86947834605,85317.10119820357,57.775654955694385,92798.34056575526,86921.78543424472,1551.2727533551515,1739.3436927477344,31.850484632382138,3972.70297,9427.06468435,0.05068224921777288,65909.47448,65909.4745,92798.3406,64591.285,1,2024-11-16 12:00:00,0
90521.2,89474.04762326548,85543.89095513677,59.509217185495835,92835.8105381303,87227.40046186968,1515.9630846102227,1694.6675711202322,30.80458307504951,5422.19653,9300.36396535,0.055303493425845215,65909.47448,65909.4745,92835.8105,64591.285,1,2024-11-16 16:00:00,0
91100.24,89580.03546866876,85741.65680003338,57.26467576798281,92508.57262308418,87359.32937691582,1430.0742776492698,1641.7489124260399,29.83338877181207,3466.38119,8172.939849199999,-0.08740725835001306,65909.47448,65909.4745,92508.5726,64591.285,1,2024-11-16 20:00:00,0
90586.92,89643.63780498602,85918.37065101246,55.76842354106008,92512.49468978602,87360.84231021398,1319.4378131909762,1577.2866925790272,28.07462855474684,2578.36716,7282.1618499999995,0.04243819383292572,65909.47448,65909.4745,92512.4947,64591.285,1,2024-11-17 00:00:00,0
90247.86,89730.03420451116,86100.03454705118,56.853178291239395,92528.38127708646,87362.51572291354,1241.8866480092402,1510.20668366507,26.441494067471982,4950.72397,6765.008902,-0.001531776899826492,65909.47448,65909.4745,92528.3813,64591.285,1,2024-11-17 04:00:00,0
90550.8,89820.9061850339,86279.80534912762,57.349174004942654,92585.70782287062,87379.90617712938,1177.6154314365413,1443.6884332193645,25.37548842180725,2974.11564,6593.7583835,-0.011218024898760927,65909.47448,65909.4745,92585.7078,64591.285,0,2024-11-17 08:00:00,0
90684.19,89862.72559598307,86435.89180602458,55.17697986671573,92538.83102962961,87375.8419703704,1080.0026500028034,1370.9512765760524,23.860931342068973,3929.09518,6492.2315125000005,-0.06984149778782861,65909.47448,65909.4745,92538.831,64591.285,0,2024-11-17 12:00:00,1
90260.01,89879.98982493706,86577.386245004,54.05416289423154,92369.6367725686,87400.25022743139,973.9861101330316,1291.5582432874482,22.213028974618414,4166.81415,6241.250823,-0.12705132138797376,65909.47448,65909.4745,92369.6368,64591.285,0,2024-11-17 16:00:00,0
90044.0,89877.704127324,86705.95894127837,53.04242917534364,92301.35748262645,87659.32951737352,864.8272129685938,1206.2120372236775,21.37517733829167,3112.39163,5722.069414,0.0072189713954843105,65909.47448,65909.4745,92301.3575,64591.285,0,2024-11-17 20:00:00,1
89855.99,89953.02563900744,86861.35584554196,56.80548680576649,92367.3745053847,87713.77149461531,834.2702740167588,1131.8236845822937,19.929287496508937,4734.41552,5458.083077,-0.03122887081225017,65909.47448,65909.4745,92367.3745,64591.285,0,2024-11-18 00:00:00,0
90668.58,90121.2993876734,87051.88698885404,61.14400495593872,92336.5127023026,88184.06429769739,884.6882816867874,1082.3966040031926,19.484705972143765,3252.23252,5207.2140515,0.0483007123293566,65909.47448,65909.4745,92336.5127,64591.285,0,2024-11-18 04:00:00,0
